Profile Summary
Generated on: 2021-12-01 03:59:58
Msec since Epoch: 1638331198068
Profiled application: host
Target platform: 
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 
Target devices: xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clReleaseCommandQueue,1,5001.65,5001.65,5001.65,5001.65,
clCreateProgramWithBinary,1,335.699,335.699,335.699,335.699,
clSetKernelArg,476,80.985,0.002931,0.170137,71.9189,
clFinish,68,14.1105,0.164275,0.207507,0.448528,
clEnqueueTask,68,3.68258,0.033218,0.0541556,0.081588,
clReleaseMemObject,612,3.02891,0.00291,0.00494919,0.033373,
clRetainMemObject,408,2.85871,0.002918,0.00700665,0.033183,
clEnqueueMigrateMemObjects,136,2.67416,0.011663,0.0196629,0.226145,
clCreateKernel,1,0.86795,0.86795,0.86795,0.86795,
clCreateBuffer,204,0.759784,0.003068,0.00372443,0.012902,
clReleaseKernel,1,0.096625,0.096625,0.096625,0.096625,
clGetExtensionFunctionAddress,2,0.048205,0.008737,0.0241025,0.039468,
clGetPlatformInfo,14,0.039255,0.002602,0.00280393,0.003411,
clReleaseDevice,4,0.019328,0.003342,0.004832,0.00669,
clRetainDevice,4,0.013688,0.0027,0.003422,0.004533,
clCreateContext,1,0.009006,0.009006,0.009006,0.009006,
clGetExtensionFunctionAddressForPlatform,2,0.008957,0.003149,0.0044785,0.005808,
clGetDeviceIDs,2,0.008373,0.003006,0.0041865,0.005367,
clCreateCommandQueue,1,0.008115,0.008115,0.008115,0.008115,
clGetDeviceInfo,2,0.007219,0.003288,0.0036095,0.003931,
clReleaseContext,1,0.004612,0.004612,0.004612,0.004612,
clReleaseProgram,1,0.004126,0.004126,0.004126,0.004126,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
multadd,68,14.128,0.182558,0.207764,0.365644,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,multadd,multadd,1:1:1,1:1:1,68,No,0,1.000000x,9.12623,0.121497,0.134209,0.199128,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,413.571,0.365644,1:1:1,1:1:1,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,454.436,0.243659,1:1:1,1:1:1,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,418.731,0.228238,1:1:1,1:1:1,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,415.924,0.224442,1:1:1,1:1:1,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,417.296,0.223939,1:1:1,1:1:1,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,414.488,0.223609,1:1:1,1:1:1,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,447.572,0.222665,1:1:1,1:1:1,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,415.198,0.218781,1:1:1,1:1:1,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,421.526,0.218715,1:1:1,1:1:1,
36004144,multadd,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,434.623,0.215919,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
16384,0,0,429.627,N/A,2.048,N/A,
16384,0,0,440.632,N/A,2.048,N/A,
16384,0,0,422.793,N/A,2.048,N/A,
0,0,0,441.349,N/A,2.048,N/A,
0,0,0,434.488,N/A,2.048,N/A,
0,0,0,453.613,N/A,2.048,N/A,
0,0,0,442.729,N/A,2.048,N/A,
0,0,0,439.963,N/A,2.048,N/A,
0,0,0,452.231,N/A,2.048,N/A,
16384,0,0,433.793,N/A,2.048,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
8192,0,0,413.971,N/A,1.024,N/A,
24576,0,0,414.741,N/A,1.024,N/A,
24576,0,0,425.854,N/A,1.024,N/A,
24576,0,0,416.177,N/A,1.024,N/A,
8192,0,0,415.445,N/A,1.024,N/A,
24576,0,0,420.349,N/A,1.024,N/A,
24576,0,0,417.549,N/A,1.024,N/A,
24576,0,0,418.989,N/A,1.024,N/A,
24576,0,0,454.708,N/A,1.024,N/A,
24576,0,0,447.823,N/A,1.024,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,46.507246,
CU_CALLS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|multadd,68,
MIGRATE_MEM,host,136,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,multadd/m_axi_gmem,32,
KERNEL_COUNT,multadd,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,multadd,1,
COMMAND_QUEUE_OOO,36120864,0,
KERNEL_BUFFER_INFO,multadd|a||1,1024,
KERNEL_BUFFER_INFO,multadd|b||1,1024,
KERNEL_BUFFER_INFO,multadd|c||1,1024,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM,512,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,1.86878,
BUFFER_WR_ACTIVE_TIME_MS,all,8.4199,
BUFFER_TX_ACTIVE_TIME_MS,all,46.7003,
APPLICATION_RUN_TIME_MS,all,5463.95,
TOTAL_KERNEL_RUN_TIME_MS,all,46.5072,


