Timeline Trace
Generated on: 2021-12-01 03:59:58
Msec since Epoch: 1638331198068
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
3.886734,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
3.917078,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
3.922886,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
3.926202,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
3.930131,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
3.933126,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
3.936275,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
3.938868,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
3.943091,clGetPlatformInfo|General,START,,,,,,,,,,,4,
3.946502,clGetPlatformInfo|General,END,,,,,,,,,,,4,
3.949253,clGetPlatformInfo|General,START,,,,,,,,,,,5,
3.952055,clGetPlatformInfo|General,END,,,,,,,,,,,5,
3.96069,clGetPlatformInfo|General,START,,,,,,,,,,,6,
3.963759,clGetPlatformInfo|General,END,,,,,,,,,,,6,
3.966413,clGetPlatformInfo|General,START,,,,,,,,,,,7,
3.969019,clGetPlatformInfo|General,END,,,,,,,,,,,7,
3.971667,clGetPlatformInfo|General,START,,,,,,,,,,,8,
3.974378,clGetPlatformInfo|General,END,,,,,,,,,,,8,
3.976996,clGetPlatformInfo|General,START,,,,,,,,,,,9,
3.979622,clGetPlatformInfo|General,END,,,,,,,,,,,9,
3.98223,clGetPlatformInfo|General,START,,,,,,,,,,,10,
3.985009,clGetPlatformInfo|General,END,,,,,,,,,,,10,
3.98952,clGetPlatformInfo|General,START,,,,,,,,,,,11,
3.992258,clGetPlatformInfo|General,END,,,,,,,,,,,11,
3.99491,clGetPlatformInfo|General,START,,,,,,,,,,,12,
3.997737,clGetPlatformInfo|General,END,,,,,,,,,,,12,
4.000371,clGetPlatformInfo|General,START,,,,,,,,,,,13,
4.003003,clGetPlatformInfo|General,END,,,,,,,,,,,13,
4.005646,clGetPlatformInfo|General,START,,,,,,,,,,,14,
4.008248,clGetPlatformInfo|General,END,,,,,,,,,,,14,
4.010888,clGetPlatformInfo|General,START,,,,,,,,,,,15,
4.013503,clGetPlatformInfo|General,END,,,,,,,,,,,15,
4.027867,clGetPlatformInfo|General,START,,,,,,,,,,,16,
4.03093,clGetPlatformInfo|General,END,,,,,,,,,,,16,
4.035697,clGetPlatformInfo|General,START,,,,,,,,,,,17,
4.038471,clGetPlatformInfo|General,END,,,,,,,,,,,17,
4.075838,clGetDeviceIDs|General,START,,,,,,,,,,,18,
4.081205,clGetDeviceIDs|General,END,,,,,,,,,,,18,
4.084671,clGetDeviceIDs|General,START,,,,,,,,,,,19,
4.087677,clGetDeviceIDs|General,END,,,,,,,,,,,19,
4.093947,clRetainDevice|General,START,,,,,,,,,,,20,
4.097101,clRetainDevice|General,END,,,,,,,,,,,20,
4.251584,clRetainDevice|General,START,,,,,,,,,,,21,
4.256117,clRetainDevice|General,END,,,,,,,,,,,21,
4.260835,clCreateContext|General,START,,,,,,,,,,,22,
4.269841,clCreateContext|General,END,,,,,,,,,,,22,
4.276449,clCreateCommandQueue|General,START,,,,,,,,,,,23,
4.284564,clCreateCommandQueue|General,END,,,,,,,,,,,23,
4.293124,clGetDeviceInfo|General,START,,,,,,,,,,,24,
4.297055,clGetDeviceInfo|General,END,,,,,,,,,,,24,
4.300319,clGetDeviceInfo|General,START,,,,,,,,,,,25,
4.303607,clGetDeviceInfo|General,END,,,,,,,,,,,25,
4.312704,clRetainDevice|General,START,,,,,,,,,,,26,
4.316005,clRetainDevice|General,END,,,,,,,,,,,26,
4.319142,clRetainDevice|General,START,,,,,,,,,,,27,
4.321842,clRetainDevice|General,END,,,,,,,,,,,27,
4.327262,clCreateProgramWithBinary|General,START,,,,,,,,,,,28,
340.025975,clCreateProgramWithBinary|General,END,,,,,,,,,,,28,
340.040199,clReleaseDevice|General,START,,,,,,,,,,,29,
